cir,ur,label
2,49,hell
23,15,unstable
20,26,hell
10,20,unstable
17,54,hell
30,37,hell
0,25,unstable
25,11,unstable
26,4,unstable
13,58,hell
1,60,hell
19,52,hell
9,36,hell
8,11,unstable
5,34,unstable
18,7,unstable
0,41,unstable
5,39,unstable
9,34,unstable
18,40,hell
6,59,hell
30,31,hell
28,51,hell
15,54,hell
25,5,unstable
18,20,unstable
21,31,hell
1,58,hell
15,26,unstable
24,26,hell
24,48,hell
4,52,hell
2,33,unstable
24,12,unstable
5,54,hell
23,46,hell
27,59,hell
13,55,hell
21,60,hell
7,50,hell
29,22,hell
20,48,hell
19,3,unstable
18,18,unstable
18,50,hell
15,7,unstable
9,33,unstable
22,3,unstable
2,33,unstable
30,47,hell
3,33,unstable
22,50,hell
20,5,unstable
8,53,hell
10,47,hell
12,45,hell
17,47,hell
26,33,hell
24,13,unstable
14,12,unstable
3,48,hell
30,29,hell
19,31,hell
12,59,hell
1,5,livable
2,13,unstable
24,44,hell
21,40,hell
5,26,unstable
22,41,hell
26,22,hell
17,45,hell
7,53,hell
12,39,hell
20,40,hell
18,28,hell
7,21,unstable
17,35,hell
26,6,unstable
15,5,unstable
9,45,hell
25,28,hell
4,21,unstable
12,17,unstable
0,22,unstable
20,21,unstable
9,18,unstable
18,40,hell
28,40,hell
14,44,hell
24,33,hell
9,47,hell
2,25,unstable
16,11,unstable
28,12,unstable
23,30,hell
13,43,hell
27,7,unstable
8,49,hell
26,54,hell
23,54,hell
14,44,hell
1,14,unstable
11,12,unstable
12,24,unstable
23,61,hell
18,42,hell
25,15,unstable
7,36,unstable
12,30,unstable
22,9,unstable
15,12,unstable
21,30,hell
27,50,hell
22,25,hell
17,24,unstable
21,16,unstable
5,42,hell
4,50,hell
5,9,unstable
27,11,unstable
0,58,hell
13,41,hell
11,30,unstable
29,52,hell
10,6,unstable
30,20,hell
18,22,unstable
29,12,unstable
10,22,unstable
24,43,hell
14,27,unstable
15,19,unstable
19,7,unstable
24,57,hell
19,46,hell
18,47,hell
16,13,unstable
2,34,unstable
22,17,unstable
12,61,hell
12,23,unstable
15,50,hell
23,55,hell
7,24,unstable
0,18,unstable
1,34,unstable
21,34,hell
23,59,hell
3,39,unstable
11,15,unstable
10,16,unstable
15,49,hell
8,38,hell
10,34,unstable
20,50,hell
7,33,unstable
3,8,unstable
2,13,unstable
27,36,hell
12,32,unstable
13,11,unstable
28,60,hell
13,38,hell
7,29,unstable
26,22,hell
6,32,unstable
25,39,hell
20,53,hell
24,28,hell
3,42,hell
20,12,unstable
20,31,hell
21,55,hell
27,34,hell
24,32,hell
20,25,hell
22,34,hell
12,31,unstable
12,61,hell
1,36,unstable
29,15,unstable
17,26,unstable
27,56,hell
10,10,unstable
26,43,hell
22,17,unstable
8,59,hell
30,35,hell
21,19,unstable
27,19,hell
7,45,hell
16,50,hell
24,49,hell
11,32,unstable
8,35,unstable
27,19,hell
19,54,hell
19,48,hell
23,53,hell
1,42,unstable
16,60,hell
8,35,unstable
1,23,unstable
14,35,hell
28,49,hell
5,29,unstable
7,3,unstable
23,23,hell
5,59,hell
16,11,unstable
12,24,unstable
26,43,hell
2,25,unstable
13,37,hell
9,16,unstable
2,49,hell
